,Unnamed: 0.1,schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium_x,stadium_neutral,weather_temperature,weather_wind_mph,game_id,season,game_type,week,weekday,gametime,away_score,home_score,home_result,location,roof,surface,old_game_id,total_score,home_win,away_win,upset_win,favorite_win,score_total,wind_speed_category,temperature_category,Temp_Cat,Wind_Cat
0,0,1999-09-12,1999,1,False,ATL,14,17,MIN,MIN,-4.0,49.0,Georgia Dome,False,72.0,0.0,1999_01_MIN_ATL,1999,REG,1,Sunday,,17,14,-3,Home,dome,astroturf,1999091210,31,False,True,False,True,31,1,4,60-80,0
1,1,1999-09-12,1999,1,False,CHI,20,17,KC,KC,-3.0,38.0,Soldier Field,False,68.0,10.0,1999_01_KC_CHI,1999,REG,1,Sunday,,17,20,3,Home,outdoors,grass,1999091206,37,True,False,True,False,37,2,3,60-80,5-10
2,2,1999-09-12,1999,1,False,CLE,0,43,PIT,PIT,-6.0,37.0,FirstEnergy Stadium,False,70.0,10.0,1999_01_PIT_CLE,1999,REG,1,Sunday,,43,0,-43,Home,outdoors,grass,1999091213,43,False,True,False,True,43,2,4,60-80,5-10
3,3,1999-09-12,1999,1,False,GB,28,24,OAK,GB,-9.0,43.0,Lambeau Field,False,61.0,9.0,1999_01_OAK_GB,1999,REG,1,Sunday,,24,28,4,Home,outdoors,grass,1999091208,52,True,False,False,True,52,2,3,60-80,5-10
4,4,1999-09-12,1999,1,False,IND,31,14,BUF,BUF,-3.0,45.5,RCA Dome,False,72.0,0.0,1999_01_BUF_IND,1999,REG,1,Sunday,,14,31,17,Home,dome,astroturf,1999091202,45,True,False,True,False,45,1,4,60-80,0
5,5,1999-09-12,1999,1,False,JAX,41,3,SF,JAX,-5.5,49.0,EverBank Field,False,80.0,12.0,1999_01_SF_JAX,1999,REG,1,Sunday,,3,41,38,Home,outdoors,grass,1999091212,44,True,False,False,True,44,3,4,60-80,10-15
6,6,1999-09-12,1999,1,False,NO,19,10,CAR,NO,-3.5,38.0,Louisiana Superdome,False,72.0,0.0,1999_01_CAR_NO,1999,REG,1,Sunday,,10,19,9,Home,dome,astroturf,1999091203,29,True,False,False,True,29,1,4,60-80,0
7,7,1999-09-12,1999,1,False,NYJ,28,30,NE,NYJ,-7.0,44.5,Giants Stadium,False,73.0,8.0,1999_01_NE_NYJ,1999,REG,1,Sunday,,30,28,-2,Home,outdoors,astroturf,1999091207,58,False,True,True,False,58,2,4,60-80,5-10
8,8,1999-09-12,1999,1,False,PHI,24,25,ARI,ARI,-3.0,37.0,Veterans Stadium,False,70.0,6.0,1999_01_ARI_PHI,1999,REG,1,Sunday,,25,24,-1,Home,outdoors,astroturf,1999091200,49,False,True,False,True,49,2,4,60-80,5-10
9,9,1999-09-12,1999,1,False,SEA,20,28,DET,SEA,-9.5,42.0,Seattle Kingdome,False,72.0,0.0,1999_01_DET_SEA,1999,REG,1,Sunday,,28,20,-8,Home,dome,astroturf,1999091209,48,False,True,True,False,48,1,4,60-80,0
10,10,1999-09-12,1999,1,False,STL,27,10,BAL,PICK,0.0,39.0,Edward Jones Dome,False,72.0,0.0,1999_01_BAL_STL,1999,REG,1,Sunday,,10,27,17,Home,dome,astroturf,1999091201,37,True,False,False,False,37,1,4,60-80,0
11,11,1999-09-12,1999,1,False,TB,13,17,NYG,TB,-5.5,37.5,Raymond James Stadium,False,81.0,7.0,1999_01_NYG_TB,1999,REG,1,Sunday,,17,13,-4,Home,outdoors,grass,1999091211,30,False,True,True,False,30,2,4,80-100,5-10
12,12,1999-09-12,1999,1,False,TEN,36,35,CIN,TEN,-9.0,42.0,Nissan Stadium,False,79.0,7.0,1999_01_CIN_TEN,1999,REG,1,Sunday,,35,36,1,Home,outdoors,grass,1999091204,71,True,False,False,True,71,2,4,60-80,5-10
13,13,1999-09-12,1999,1,False,WAS,35,41,DAL,WAS,-2.5,42.0,FedEx Field,False,71.0,5.0,1999_01_DAL_WAS,1999,REG,1,Sunday,,41,35,-6,Home,outdoors,grass,1999091205,76,False,True,True,False,76,1,4,60-80,0-5
14,14,1999-09-13,1999,1,False,DEN,21,38,MIA,DEN,-6.0,43.0,Mile High Stadium,False,50.0,7.0,1999_01_MIA_DEN,1999,REG,1,Monday,,38,21,-17,Home,outdoors,grass,1999091300,59,False,True,True,False,59,2,2,40-60,5-10
15,15,1999-09-19,1999,2,False,BAL,20,23,PIT,PIT,-2.5,38.0,M&T Bank Stadium,False,62.0,4.0,1999_02_PIT_BAL,1999,REG,2,Sunday,,23,20,-3,Home,outdoors,grass,1999091905,43,False,True,False,True,43,1,3,60-80,0-5
