Player,Team,G,Comp,Att,Yard,TD,INT,Att,Yard,TD,FPts,FPts/G
 1. Aaron Rodgers,GB,16,401,610,"4,428",40,7,67,369,4,442.3,27.6
 2. Drew Brees,NO,16,471,673,"5,207",37,15,23,20,2,422.4,26.4
 3. Matt Ryan,ATL,16,373,534,"4,944",38,7,35,117,0,410.9,25.7
 4. Andrew Luck,IND,15,346,545,"4,240",31,13,64,341,2,382.1,25.5
 5. Kirk Cousins,WAS,16,406,606,"4,917",25,12,34,100,4,379.9,23.7
 6. Philip Rivers,SD,16,349,578,"4,390",33,21,14,35,0,355,22.2
 7. Matthew Stafford,DET,16,388,594,"4,327",24,10,37,207,2,345.1,21.6
 8. Blake Bortles,JAC,16,368,625,"3,905",23,16,58,359,3,341.2,21.3
 9. Dak Prescott,DAL,16,311,459,"3,667",23,4,57,282,6,339.6,21.2
 10. Jameis Winston,TB,16,345,568,"4,090",28,18,52,168,1,339.3,21.2
 11. Russell Wilson,SEA,16,353,546,"4,219",21,11,72,259,1,326.9,20.4
 12. Andy Dalton,CIN,16,364,563,"4,206",18,8,46,184,4,324.7,20.3
 13. Marcus Mariota,TEN,15,276,451,"3,426",26,9,59,357,2,323,21.5
 14. Carson Palmer,ARI,15,365,598,"4,237",26,14,14,38,0,319.7,21.3
 15. Cam Newton,CAR,15,270,509,"3,509",19,14,90,359,5,317.4,21.2
 16. Derek Carr,LV,15,356,559,"3,933",28,6,38,69,0,315.6,21
 17. Ben Roethlisberger,PIT,14,328,509,"3,819",29,13,16,14,1,314.4,22.5
 18. Joe Flacco,BAL,16,437,673,"4,317",20,15,22,53,2,313.2,19.6
 19. Tyrod Taylor,BUF,15,270,437,"3,023",17,6,95,580,6,313.2,20.9
 20. Eli Manning,NYG,16,377,598,"4,027",26,16,21,-9,0,304.5,19
 21. Tom Brady,NE,12,291,432,"3,554",28,2,28,64,0,296.1,24.7
 22. Carson Wentz,PHI,16,379,607,"3,782",16,14,46,150,2,280.1,17.5
 23. Sam Bradford,MIN,15,395,552,"3,877",20,5,20,53,0,279.2,18.6
 24. Alex Smith,KC,15,328,489,"3,502",15,8,48,134,5,278.5,18.6
 25. Ryan Tannehill,MIA,13,261,389,"2,997",19,12,39,164,1,248.3,19.1
 26. Trevor Siemian,DEN,14,289,486,"3,401",18,10,28,57,0,247.8,17.7
